timestamp_utc,funding_rate,settlement_hour_utc
2024-07-03 08:00:00,0.0001,8
2024-07-03 16:00:00,0.0001,16
2024-07-04 00:00:00,0.0001,0
2024-07-04 08:00:00,0.0001,8
2024-07-04 16:00:00,0.0001,16
2024-07-05 00:00:00,0.0001,0
2024-07-05 08:00:00,0.0001,8
2024-07-05 16:00:00,1.762e-05,16
2024-07-06 00:00:00,5.729e-05,0
2024-07-06 08:00:00,7.512e-05,8
2024-07-06 16:00:00,3.25e-05,16
2024-07-07 00:00:00,8.164e-05,0
2024-07-07 08:00:00,0.0001,8
2024-07-07 16:00:00,0.0001,16
2024-07-08 00:00:00,7.905e-05,0
2024-07-08 08:00:00,8.222e-05,8
2024-07-08 16:00:00,0.0001,16
2024-07-09 00:00:00,0.0001,0
2024-07-09 08:00:00,8.61e-06,8
2024-07-09 16:00:00,0.0001,16
2024-07-10 00:00:00,0.0001,0
2024-07-10 08:00:00,9.225e-05,8
2024-07-10 16:00:00,5.485e-05,16
2024-07-11 00:00:00,0.0001,0
2024-07-11 08:00:00,0.0001,8
2024-07-11 16:00:00,0.0001,16
2024-07-12 00:00:00,6.378e-05,0
2024-07-12 08:00:00,3.026e-05,8
2024-07-12 16:00:00,4.037e-05,16
2024-07-13 00:00:00,8.319e-05,0
2024-07-13 08:00:00,6.865e-05,8
2024-07-13 16:00:00,0.0001,16
2024-07-14 00:00:00,8.737e-05,0
2024-07-14 08:00:00,3.71e-05,8
2024-07-14 16:00:00,8.342e-05,16
2024-07-15 00:00:00,4.59e-05,0
2024-07-15 08:00:00,3.202e-05,8
2024-07-15 16:00:00,-5.14e-06,16
2024-07-16 00:00:00,-5.062e-05,0
2024-07-16 08:00:00,8.814e-05,8
2024-07-16 16:00:00,2.717e-05,16
2024-07-17 00:00:00,-3.419e-05,0
2024-07-17 08:00:00,1.775e-05,8
2024-07-17 16:00:00,2.143e-05,16
2024-07-18 00:00:00,6.89e-06,0
2024-07-18 08:00:00,1.546e-05,8
2024-07-18 16:00:00,3.127e-05,16
2024-07-19 00:00:00,4.029e-05,0
2024-07-19 08:00:00,4.855e-05,8
2024-07-19 16:00:00,4.606e-05,16
2024-07-20 00:00:00,-3.077e-05,0
2024-07-20 08:00:00,1.944e-05,8
2024-07-20 16:00:00,1.622e-05,16
2024-07-21 00:00:00,-5.313e-05,0
2024-07-21 08:00:00,2.194e-05,8
2024-07-21 16:00:00,6.46e-06,16
2024-07-22 00:00:00,9.136e-05,0
2024-07-22 08:00:00,5.953e-05,8
2024-07-22 16:00:00,2.769e-05,16
2024-07-23 00:00:00,4.709e-05,0
2024-07-23 08:00:00,4.31e-05,8
2024-07-23 16:00:00,4.642e-05,16
2024-07-24 00:00:00,0.0001,0
2024-07-24 08:00:00,0.0001,8
2024-07-24 16:00:00,0.0001,16
2024-07-25 00:00:00,0.0001,0
2024-07-25 08:00:00,0.0001,8
2024-07-25 16:00:00,0.0001,16
2024-07-26 00:00:00,0.0001,0
2024-07-26 08:00:00,0.0001,8
2024-07-26 16:00:00,3.34e-05,16
2024-07-27 00:00:00,6.547e-05,0
2024-07-27 08:00:00,8.022e-05,8
2024-07-27 16:00:00,9.109e-05,16
2024-07-28 00:00:00,8.18e-05,0
2024-07-28 08:00:00,9.177e-05,8
2024-07-28 16:00:00,2.804e-05,16
2024-07-29 00:00:00,8.361e-05,0
2024-07-29 08:00:00,5.623e-05,8
2024-07-29 16:00:00,0.0001,16
2024-07-30 00:00:00,3.396e-05,0
2024-07-30 08:00:00,3.562e-05,8
2024-07-30 16:00:00,7.691e-05,16
2024-07-31 00:00:00,3.063e-05,0
2024-07-31 08:00:00,7.178e-05,8
2024-07-31 16:00:00,3.826e-05,16
2024-08-01 00:00:00,8.208e-05,0
